#boots	id	seq	opened_by	opened_at	opened_offset	bytes	closed_at
boot	542	542	power	1786905439697	5024887	0	1786905441440
boot	543	543	session	1786905441440	5024889	2743	1786905495560
boot	544	544	session	1786905495560	5027652	17355	1786905553677
boot	545	545	session	1786905553677	5045118	0	1786905567256
boot	546	546	power	1786905567256	5027650	0	1786905579210
boot	547	547	power	1786905579210	5045118	19801	1786905816536
#lines	id	boot_id	ts_wall	stream_offset	terminator	text
line	107087	544	1786905525170	5034928	crlf	 - 0x059953000 [ 1707] UsbConfigDxe.efi
line	107088	544	1786905525218	5034971	crlf	UsbConfigLibOpenProtocols: Failed to open Power control USB protocol Status =  (0xE)
line	107089	544	1786905525218	5035057	crlf	UsbConfigLibOpenProtocols: gPmicNpaClientSS1 cannot be created
line	107090	544	1786905525218	5035121	crlf	 - 0x0599AD000 [ 1708] UsbFastbootTransportDxe.efi
line	107091	544	1786905525218	5035173	crlf	 - 0x059914000 [ 1708] FastbootPlatformDxe.efi
line	107092	544	1786905525218	5035221	crlf	 - 0x059974000 [ 1709] SimpleTextInOutSerial.efi
line	107093	544	1786905525218	5035271	crlf	 - 0x05996A000 [ 1709] ButtonsDxe.efi
line	107094	544	1786905525218	5035310	crlf	ButtonsDxe: Keypress PM SDAM read failed 
line	107095	544	1786905525218	5035353	crlf	 - 0x05994B000 [ 1710] TsensDxe.efi
line	107096	544	1786905525218	5035390	crlf	 - 0x059943000 [ 1711] LimitsDxe.efi
line	107097	544	1786905525218	5035428	crlf	 - 0x05981D000 [ 1711] GpiDxe.efi
line	107098	544	1786905525218	5035463	crlf	 - 0x0597D6000 [ 1791] UCDxe.efi
line	107099	544	1786905525218	5035497	crlf	 - 0x05990C000 [ 1794] RngDxe.efi
line	107100	544	1786905525218	5035532	crlf	 - 0x05983C000 [ 1794] ConPlatformDxe.efi
line	107101	544	1786905525218	5035575	crlf	 - 0x059A0C000 [ 1794] ConSplitterDxe.efi
line	107102	544	1786905525218	5035618	crlf	 - 0x059804000 [ 1796] GraphicsConsoleDxe.efi
line	107103	544	1786905525218	5035665	crlf	 - 0x059813000 [ 1796] SecRSADxe.efi
line	107104	544	1786905525218	5035703	crlf	 - 0x0597B1000 [ 1797] HypDtFixupDxe.efi
line	107105	544	1786905525218	5035745	crlf	HypDtFixupEntryPoint : Reading of OsConfigTableSelection failed,checking DT setting 
line	107106	544	1786905525218	5035831	crlf	 - 0x05977A000 [ 1801] DtPlatformDxe.efi
line	107107	544	1786905525218	5035873	crlf	 - 0x0597FD000 [ 1802] RuntimeInitDxe.efi
line	107108	544	1786905525218	5035916	crlf	 - 0x0597CD000 [ 1802] EsrtDxe.efi
line	107109	544	1786905525218	5035952	crlf	 - 0x059723000 [ 1803] FmpDxe.efi
line	107110	544	1786905525263	5035989	crlf	InitStorageDiskInfo: storageInfo[0].guid: 12C55B20-25D3-41C9-8E06-282D94C676AD
line	107111	544	1786905525301	5036071	crlf	InitStorageDiskInfo: storageInfo[1].guid: B9251EA5-3462-4807-86C6-8948B1B36163
line	107112	544	1786905525301	5036151	crlf	InitStorageDiskInfo: storageInfo[2].guid: B615F1F5-5088-43CD-809C-A16E52487D00
line	107113	544	1786905525301	5036231	crlf	
line	107114	544	1786905525301	5036233	crlf	    Current SysFwVersion Entry info:
line	107115	544	1786905525301	5036271	crlf	    ====================================
line	107116	544	1786905525301	5036313	crlf	    Signature                 : 5245565746535953
line	107117	544	1786905525301	5036363	crlf	    Revision                  : 0x10000
line	107118	544	1786905525301	5036404	crlf	    VersionDataCrc32          : 0xD6AE50A5
line	107119	544	1786905525301	5036448	crlf	    FwVersion                 : 0x10000
line	107120	544	1786905525301	5036489	crlf	    LowestSupportedFwVersion  : 0x0
line	107121	544	1786905525340	5036528	crlf	    ====================================
line	107122	544	1786905525340	5036570	crlf	Platform: QRB_AGATTI IOT
line	107123	544	1786905525340	5036596	crlf	Selected FW GUID =: A2C156D8-ABBF-49B4-9F3D-8C134DDE977B 
line	107124	544	1786905525340	5036655	crlf	  Platform = 20 
line	107125	544	1786905525340	5036673	crlf	FmpDxe(Qualcomm System Firmware Update Driver): Failed to get the controller state.  Status = Not Found
line	107126	544	1786905525340	5036778	crlf	 - 0x0597C4000 [ 1827] SoftSKUDxe.efi
